fold,iter,split,metric,value
2,1,training,auc,0.891090187466192
2,2,training,auc,0.9528432909435547
2,3,training,auc,0.9568825717769873
2,4,training,auc,0.953771194142061
2,5,training,auc,0.9583497033362772
2,6,training,auc,0.9602770296139306
2,7,training,auc,0.9615639236530067
2,8,training,auc,0.9604577618674301
2,9,training,auc,0.9591815045940005
2,10,training,auc,0.9577243604629194
2,11,training,auc,0.9565831344557059
2,12,training,auc,0.958336654745862
2,13,training,auc,0.9598704206945944
2,14,training,auc,0.9588676272449373
2,15,training,auc,0.9599729232472636
2,16,training,auc,0.9613109603397679
2,17,training,auc,0.9604648427375844
2,18,training,auc,0.961435478523659
2,19,training,auc,0.9625456909380137
2,20,training,auc,0.9632611680318934
2,21,training,auc,0.9638126410415027
2,22,training,auc,0.964415844600317
2,23,training,auc,0.9649269659262962
2,24,training,auc,0.9656243543344109
2,25,training,auc,0.9659906734117778
2,26,training,auc,0.9665463825751474
2,27,training,auc,0.9661482150425016
2,28,training,auc,0.9666623666098568
2,29,training,auc,0.9669395100124432
2,30,training,auc,0.9672724345930129
2,31,training,auc,0.967742431214603
2,32,training,auc,0.9681531835252084
2,33,training,auc,0.9677608291086718
2,34,training,auc,0.9680302423036662
2,35,training,auc,0.9683317203997519
2,36,training,auc,0.9686447938072256
2,37,training,auc,0.9689384798540587
2,38,training,auc,0.9690236667417218
2,39,training,auc,0.9692531920655417
2,40,training,auc,0.9691456184966923
2,41,training,auc,0.9692251468723982
2,42,training,auc,0.9695377564674164
2,43,training,auc,0.969345614427511
2,44,training,auc,0.9695197296233119
2,45,training,auc,0.9694125580252573
2,46,training,auc,0.9696206552136323
2,47,training,auc,0.9698873164547239
2,48,training,auc,0.9698519430247833
2,49,training,auc,0.9701534829625297
2,50,training,auc,0.9698156419699314
2,51,training,auc,0.9699866960035259
2,52,training,auc,0.9699430976327074
2,53,training,auc,0.9701734578189473
2,54,training,auc,0.9701543796666103
2,55,training,auc,0.9702814642794219
2,56,training,auc,0.9702763314215809
2,57,training,auc,0.9705997323863973
2,58,training,auc,0.9707565009963619
2,59,training,auc,0.9710705638704074
2,60,training,auc,0.9713572308887469
2,61,training,auc,0.9714162278330886
2,62,training,auc,0.9716575958349394
2,63,training,auc,0.9717630977081543
2,64,training,auc,0.9720319234073717
2,65,training,auc,0.9719965190566006
2,66,training,auc,0.9721923097544892
2,67,training,auc,0.9723581381677515
2,68,training,auc,0.9725591854068028
2,69,training,auc,0.9727310433819868
2,70,training,auc,0.972808314537076
2,71,training,auc,0.9730685442454511
2,72,training,auc,0.9730479200515957
2,73,training,auc,0.9732293634841938
2,74,training,auc,0.9736780247328302
2,75,training,auc,0.9739316373835065
2,76,training,auc,0.9741538344705293
2,77,training,auc,0.9742111616900312
2,78,training,auc,0.9744841307805179
2,79,training,auc,0.9746326126079439
2,80,training,auc,0.9748396275672561
2,81,training,auc,0.9751649765443857
2,82,training,auc,0.9752586048187393
2,83,training,auc,0.9754937577336862
2,84,training,auc,0.9755269357846708
2,85,training,auc,0.975689053698289
2,86,training,auc,0.9758823088880876
2,87,training,auc,0.9761277275187166
2,88,training,auc,0.9762267360175542
2,89,training,auc,0.9764467686464512
2,90,training,auc,0.9767150068498915
2,91,training,auc,0.9768505637702238
2,92,training,auc,0.9770498176011138
2,93,training,auc,0.9771728825059774
2,94,training,auc,0.9773627364044356
2,95,training,auc,0.97742869053561
2,96,training,auc,0.9776213891504619
2,97,training,auc,0.9777954734254325
2,98,training,auc,0.9778758675843887
2,99,training,auc,0.9780395315395253
2,100,training,auc,0.9783349491528589
2,101,training,auc,0.9783529450761329
2,102,training,auc,0.9785905407366788
2,103,training,auc,0.978777364393761
2,104,training,auc,0.9790704938656474
2,105,training,auc,0.9791580925780793
2,106,training,auc,0.9791964962493961
2,107,training,auc,0.9792927527943309
2,108,training,auc,0.9794473878670001
2,109,training,auc,0.9796452193396931
2,110,training,auc,0.9797702013360396
2,111,training,auc,0.9799712485750909
2,112,training,auc,0.9801068054954232
2,113,training,auc,0.9802081639773687
2,114,training,auc,0.9802984528020425
2,115,training,auc,0.9805118683732409
2,116,training,auc,0.9806007657605482
2,117,training,auc,0.9806396332443205
2,118,training,auc,0.9807914545214262
2,119,training,auc,0.9808978221778913
2,120,training,auc,0.9809359166409045
2,121,training,auc,0.9810309981942853
2,122,training,auc,0.9811120107698489
2,123,training,auc,0.9810759570816401
2,124,training,auc,0.9812633682344991
2,125,training,auc,0.9811436427793151
2,126,training,auc,0.9812685629340009
2,127,training,auc,0.9812732629002168
2,128,training,auc,0.9814130250534792
2,129,training,auc,0.9814206315777496
2,130,training,auc,0.9814705377979631
2,131,training,auc,0.9815750502046062
2,132,training,auc,0.981760173216018
2,133,training,auc,0.9818294977177026
2,134,training,auc,0.9818692619055556
2,135,training,auc,0.9818927617366351
2,136,training,auc,0.9819677756711073
2,137,training,auc,0.9820785340854846
2,138,training,auc,0.9820261541988416
2,139,training,auc,0.9821406849545238
2,140,training,auc,0.9823067916552595
2,141,training,auc,0.9823878660724837
2,142,training,auc,0.9823713543490673
2,143,training,auc,0.9824866272046784
2,144,training,auc,0.9825492418861731
2,145,training,auc,0.9826608660838008
2,146,training,auc,0.9827950006459362
2,147,training,auc,0.982824499118107
2,148,training,auc,0.9828307142050109
2,149,training,auc,0.9828611403020928
2,150,training,auc,0.982887979582852
2,151,training,auc,0.9829722079247738
2,152,training,auc,0.9830030050718201
2,153,training,auc,0.9830304627691867
2,154,training,auc,0.9831467869330303
2,155,training,auc,0.9831836445628286
2,156,training,auc,0.9832736241791988
2,157,training,auc,0.9833820326104682
2,158,training,auc,0.9835183316307293
2,159,training,auc,0.983595819231631
2,160,training,auc,0.9837142460119396
2,161,training,auc,0.9837825810470523
2,162,training,auc,0.9838711383052255
2,163,training,auc,0.9839554284888081
2,164,training,auc,0.9839958110932684
2,165,training,auc,0.9840422541804809
2,166,training,auc,0.9840809670601013
2,167,training,auc,0.9841232049143837
2,168,training,auc,0.9842064437897337
2,169,training,auc,0.9842630907509674
2,170,training,auc,0.9843705715573258
2,171,training,auc,0.9845022942946925
2,172,training,auc,0.9846297499574684
2,173,training,auc,0.9847337676308255
2,174,training,auc,0.984805442115618
2,175,training,auc,0.9849322175201259
2,176,training,auc,0.9849599844257961
2,177,training,auc,0.9851111254446339
2,178,training,auc,0.9851396344502329
2,179,training,auc,0.9851201543271012
2,180,training,auc,0.9852155141679554
2,181,training,auc,0.9852455073734121
2,182,training,auc,0.9853314054401738
2,183,training,auc,0.9854198390150256
2,184,training,auc,0.9854967700409806
2,185,training,auc,0.9854752491430446
2,186,training,auc,0.9856219375623093
2,187,training,auc,0.9856719056241836
2,188,training,auc,0.9856913857473153
2,189,training,auc,0.9857580510575883
2,190,training,auc,0.9857601536740532
2,191,training,auc,0.985784766655026
2,192,training,auc,0.9858537201067461
2,193,training,auc,0.98587759098779
2,194,training,auc,0.9859206327836619
2,195,training,auc,0.9859529759722266
2,196,training,auc,0.9860258254485731
2,197,training,auc,0.9860488305463667
2,198,training,auc,0.9860916249755958
2,199,training,auc,0.9860802461100204
2,200,training,auc,0.9861458601120608
2,201,training,auc,0.9862773973244453
2,202,training,auc,0.986355565183615
2,203,training,auc,0.9863974938295937
2,204,training,auc,0.9863925464967348
2,205,training,auc,0.9864358975009104
2,206,training,auc,0.9864489460913256
2,207,training,auc,0.9864903181623578
2,208,training,auc,0.9866151146337221
2,209,training,auc,0.9867363242887637
2,210,training,auc,0.9867591438615751
2,211,training,auc,0.9867487544625715
2,212,training,auc,0.9867365098137459
2,213,training,auc,0.9867166586406498
2,214,training,auc,0.9867541346870555
2,215,training,auc,0.9867903739002466
2,216,training,auc,0.9868118947981825
2,217,training,auc,0.9869374952111364
2,218,training,auc,0.9869739199493096
2,219,training,auc,0.9869961829471744
2,220,training,auc,0.987006077612892
2,221,training,auc,0.9869951934806026
2,222,training,auc,0.9870621061575185
2,223,training,auc,0.9871005098288352
2,224,training,auc,0.9871679790806978
2,225,training,auc,0.9872252444585389
2,226,training,auc,0.9872386022572577
2,227,training,auc,0.9873644500368546
2,228,training,auc,0.9873735407609827
2,229,training,auc,0.9874086668242804
2,230,training,auc,0.9874421231627384
2,231,training,auc,0.9874892465082189
2,232,training,auc,0.9874992030155972
2,233,training,auc,0.9875885642153601
2,234,training,auc,0.9876099614299746
2,235,training,auc,0.9876499111428098
2,236,training,auc,0.9876593729169023
2,237,training,auc,0.987654549267365
2,238,training,auc,0.987730057935123
2,239,training,auc,0.9878434136992512
2,1,training,binary_logloss,0.5026778585165127
2,2,training,binary_logloss,0.4862158051108098
2,3,training,binary_logloss,0.47120666539320444
2,4,training,binary_logloss,0.4610000398144449
